86,43	2
5,36	4
16,58	3
66,47	2
20,37	4
89,27	2
56,68	1
21,42	4
96,22	2
72,80	1
99,10	2
20,74	3
59,19	2
70,23	2
81,86	1
53,14	4
72,60	1
2,80	3
10,77	3
81,76	1
44,86	1
3,58	3
7,32	4
89,6	2
61,50	2
31,74	3
96,47	2
100,60	2
96,66	1
0,82	3
17,1	4
2,43	4
8,80	3
15,62	3
81,28	2
45,78	1
48,42	4
61,82	1
24,33	4
23,39	4
37,20	4
99,54	2
5,76	3
45,74	1
87,75	1
61,36	2
46,94	1
58,74	1
73,93	1
37,53	4
41,25	4
88,98	1
79,43	2
19,44	4
60,68	1
93,46	2
76,94	1
20,47	4
17,70	3
55,22	2
12,43	4
100,87	1
5,42	4
54,67	1
13,93	3
61,37	2
99,52	2
6,18	4
23,15	4
93,47	2
70,12	2
49,40	4
42,82	1
85,74	1
93,3	2
2,44	4
39,29	4
29,60	3
13,68	3
62,69	1
37,17	4
83,33	2
7,86	3
80,99	1
7,83	3
74,35	2
75,7	2
41,57	4
20,97	3
57,93	1
23,95	3
57,74	1
37,78	3
55,98	1
34,30	4
23,38	4
38,31	4
43,54	4
39,54	4
6,73	3
