86,43	4
5,36	1
16,58	5
66,47	4
20,37	1
89,27	2
56,68	3
21,42	1
96,22	2
72,80	3
99,10	2
20,74	5
59,19	2
70,23	2
81,86	3
53,14	2
72,60	4
2,80	5
10,77	5
81,76	4
44,86	3
3,58	5
7,32	1
89,6	2
61,50	4
31,74	5
96,47	4
100,60	4
96,66	4
0,82	5
17,1	1
2,43	1
8,80	5
15,62	5
81,28	2
45,78	3
48,42	1
61,82	3
24,33	1
23,39	1
37,20	1
99,54	4
5,76	5
45,74	3
87,75	4
61,36	2
46,94	3
58,74	3
73,93	3
37,53	1
41,25	1
88,98	3
79,43	4
19,44	1
60,68	3
93,46	4
76,94	3
20,47	1
17,70	5
55,22	2
12,43	1
100,87	4
5,42	1
54,67	3
13,93	5
61,37	2
99,52	4
6,18	1
23,15	1
93,47	4
70,12	2
49,40	1
42,82	3
85,74	4
93,3	2
2,44	1
39,29	1
29,60	5
13,68	5
62,69	3
37,17	1
83,33	2
7,86	5
80,99	3
7,83	5
74,35	2
75,7	2
41,57	1
20,97	5
57,93	3
23,95	5
57,74	3
37,78	5
55,98	3
34,30	1
23,38	1
38,31	1
43,54	1
39,54	1
6,73	5
